player_id,long_name,short_name,overall,club_name,player_positions,club_position,nationality_name
259583,Iyenoma Destiny Udogie,D. Udogie,80,Tottenham Hotspur,LB,SUB,Italy
235152,Ferdi Erenay Kadıoğlu,F. Kadıoğlu,79,Brighton & Hove Albion,"RB, LB, RM",SUB,Türkiye
213991,Jefferson Andrés Lerma Solís,J. Lerma,77,Crystal Palace,"CDM, CM, CB",SUB,Colombia
256675,Omar Khaled Mohamed Marmoush,O. Marmoush,84,Manchester City,"ST, CAM, LW",LW,Egypt
227535,Rodrigo Bentancur Colmán,R. Bentancur,80,Tottenham Hotspur,"CDM, CM",SUB,Uruguay
227813,Oleksandr ZinchenkoЗінченко Олександр Володимирович,O. Zinchenko,77,Nottingham Forest,LB,SUB,Ukraine
239301,Lisandro Martínez,L. Martínez,81,Manchester United,CB,RES,Argentina
266127,Lewis Kieran Hall,L. Hall,80,Newcastle United,LB,SUB,England
237386,Kiernan Frank Dewsbury-Hall,K. Dewsbury-Hall,77,Everton,"CM, CAM, CDM",CAM,England
234574,José Diogo Dalot Teixeira,Diogo Dalot,79,Manchester United,"RB, LB, RM",SUB,Portugal
224371,Jarrod Bowen,J. Bowen,83,West Ham United,"RM, ST, RW",RS,England
253149,Jeremie Agyekum Frimpong,J. Frimpong,83,Liverpool,"RB, RM, RW",RB,Netherlands
233731,Alexander Isak,A. Isak,88,Liverpool,ST,SUB,Sweden
245637,Georginio Rutter,G. Rutter,77,Brighton & Hove Albion,"CAM, ST",CAM,France
206085,Jacob Kai Murphy,J. Murphy,81,Newcastle United,"RW, RM",SUB,England
259868,Pape Matar Sarr,P. Sarr,79,Tottenham Hotspur,"CM, CDM",RCM,Senegal
236699,Saša LukićСаша Лукић,S. Lukić,78,Fulham FC,"CDM, CM",LDM,Serbia
245155,Mohammed Kudus,M. Kudus,80,Tottenham Hotspur,"RW, LW, ST, RM",RW,Ghana
257191,Anton Levi Stach,A. Stach,79,Leeds United,"CDM, CM, CB",LCM,Germany
224294,Lewis John Cook,L. Cook,79,AFC Bournemouth,"CDM, RB, RM",SUB,England
236401,Noussair Mazraouiنصير مزراوي,N. Mazraoui,80,Manchester United,"RB, CB, RM",RB,Morocco
248465,Ian Ethan Maatsen,I. Maatsen,79,Aston Villa,"LB, LM",SUB,Netherlands
236480,Yves Bissouma,Y. Bissouma,78,Tottenham Hotspur,"CDM, CM",SUB,Mali
269136,Kobbie Mainoo,K. Mainoo,77,Manchester United,"CM, CDM",SUB,England
255069,Nicolás González Iglesias,Nico González,79,Manchester City,"CDM, CM",SUB,Spain
246923,Jacob Matthew Ramsey,J. Ramsey,78,Newcastle United,"LM, LW",SUB,England
251566,Gabriel Teodoro Martinelli Silva,Gabriel Martinelli,81,Arsenal,"LW, LM",SUB,Brazil
242641,Rayan Aït Nouriريان آيت نوري,R. Aït-Nouri,81,Manchester City,"LB, LM",LB,Algeria
278773,Myles Anthony Lewis-Skelly,M. Lewis-Skelly,78,Arsenal,"LB, CM",SUB,England
205569,James Michael Edward Ward-Prowse,J. Ward-Prowse,77,West Ham United,"CM, CDM, CAM, CB",LCM,England
255565,Kaoru Mitoma三笘 薫,K. Mitoma,82,Brighton & Hove Albion,"LM, LW",LM,Japan
224656,Temitayo Olufisayo Olaoluwa Aina,O. Aina,80,Nottingham Forest,"RB, LB, RM",RB,Nigeria
213655,Alexander Chuka Iwobi,A. Iwobi,80,Fulham FC,"LM, RM, LW",LM,Nigeria
231943,Richarlison de Andrade,Richarlison,78,Tottenham Hotspur,"ST, LW, LM",SUB,Brazil
232730,Daichi Kamada鎌田 大地,D. Kamada,77,Crystal Palace,"CM, CAM",SUB,Japan
205988,Luke Paul Hoare Shaw,L. Shaw,79,Manchester United,"CB, LB, LM",LCB,England
206517,Jack Peter Grealish,J. Grealish,80,Everton,"LW, LM",LM,England
233064,Mason Tony Mount,M. Mount,77,Manchester United,"CAM, CM, RW",SUB,England
257711,Riccardo Calafiori,R. Calafiori,78,Arsenal,"LB, CB",LB,Italy
235790,Kai Lukas Havertz,K. Havertz,82,Arsenal,"ST, CM, CAM",SUB,Germany
235456,Jean-Ricner Bellegarde,J. Bellegarde,75,Wolverhampton Wanderers,"CAM, CM",SUB,Haiti
200145,Carlos Henrique Casimiro,Casemiro,80,Manchester United,"CDM, CM",RCM,Brazil
248793,Mats Wieffer,M. Wieffer,78,Brighton & Hove Albion,"CDM, CM",SUB,Netherlands
257980,Dan Assane Ndoye,D. Ndoye,79,Nottingham Forest,"LM, RM, LW",RM,Switzerland
229348,Antonee Robinson,A. Robinson,82,Fulham FC,"LB, LM",LB,United States
252064,Ladislav Krejčí,L. Krejčí,78,Wolverhampton Wanderers,"CB, CDM",SUB,Czechia
212491,Fuka-Arthur Masuaku Kawela,A. Masuaku,75,Sunderland,"LB, LM",SUB,Congo DR
258171,Hannibal Mejbriحنبعل المجبري,Hannibal,74,Burnley,"CM, CAM",CAM,Tunisia
236764,Ao Tanaka田中 碧,A. Tanaka,76,Leeds United,"CDM, CM",RCM,Japan
230666,Gabriel Fernando de Jesus,Gabriel Jesus,80,Arsenal,"ST, CAM",RES,Brazil
237329,Joseph George Willock,J. Willock,76,Newcastle United,"CM, CAM",SUB,England
273463,João Victor Gomes da Silva,João Gomes,78,Wolverhampton Wanderers,"CDM, CM",LCM,Brazil
237819,Nicolás Martín Domínguez,N. Domínguez,79,Nottingham Forest,"CDM, CM",RES,Argentina
229391,João Maria Lobo Alves Palhinha Gonçalves,Palhinha,83,Tottenham Hotspur,"CDM, CM",CDM,Portugal
235805,Federico Chiesa,F. Chiesa,81,Liverpool,"RM, LM, ST, RW",SUB,Italy
243606,Keane William Lewis-Potter,K. Lewis-Potter,76,Brentford,"LB, LM",LB,England
73374,Christantus Ugonna Uche Uche,C. Uche,76,Crystal Palace,"ST, CAM, CM",SUB,Nigeria
227174,Matthew Stuart Cash,M. Cash,79,Aston Villa,"RB, RM",RB,Poland
243282,Dwight James Matthew McNeil,D. McNeil,78,Everton,"LM, CAM, RM, LW",SUB,England
272926,Lucas Erik Holger Bergvall,L. Bergvall,77,Tottenham Hotspur,"CM, CDM, CAM",LCM,Sweden
274915,El Hadji Malick Diouf,E. Diouf,75,West Ham United,"LB, LM",LB,Senegal
210697,Christian Thers Nørgaard,C. Nørgaard,80,Arsenal,"CDM, CM",SUB,Denmark
259240,Adam James Wharton,A. Wharton,79,Crystal Palace,"CDM, CM",RCM,England
277439,Volodymyr BrazhkoБражко Володимир Володимирович,V. Brazhko,75,Dynamo Kyiv,"CDM, CM, CB",SUB,Ukraine
232999,Tyler Shaan Adams,T. Adams,79,AFC Bournemouth,"CDM, CM",LDM,United States
208920,Nathan Benjamin Aké,N. Aké,83,Manchester City,"CB, LB, LM",SUB,Netherlands
229723,Mathias Jensen,M. Jensen,77,Brentford,"CM, CDM",SUB,Denmark
271121,Quilindschy Hartman,Q. Hartman,77,Burnley,"LB, LM",LB,Netherlands
254796,Chukwunonso Tristan Madueke,N. Madueke,80,Arsenal,"RW, RM",SUB,England
277283,Jack Luca Hinshelwood,J. Hinshelwood,75,Brighton & Hove Albion,"CDM, RB, LB, RM",SUB,England
253306,Manuel Ugarte Ribeiro,M. Ugarte,79,Manchester United,"CDM, CM",SUB,Uruguay
241236,Antoine Serlom Semenyo,A. Semenyo,80,AFC Bournemouth,"RM, LM, RW",LM,Ghana
199189,Ross Barkley,R. Barkley,77,Aston Villa,"CM, CAM",SUB,England
232487,Wataru Endo遠藤 航,W. Endo,79,Liverpool,"CDM, CM",SUB,Japan
227678,Ezri Konsa Ngoyo,E. Konsa,82,Aston Villa,"CB, RB, RM",RCB,England
235883,Kouassi Ryan Sessegnon,R. Sessegnon,75,Fulham FC,LB,SUB,England
257400,Yasin Abbas Ayari,Y. Ayari,75,Brighton & Hove Albion,"CM, CDM",LDM,Sweden
257057,Amadou Zeund Georges Ba Mvom Onana,A. Onana,79,Aston Villa,"CDM, CM",LDM,Belgium
255074,Artem BondarenkoБондаренко Артем Юрійович,A. Bondarenko,77,Shakhtar Donetsk,"CAM, CM, CDM",RCM,Ukraine
236987,Boubacar Bernard Kamara,B. Kamara,83,Aston Villa,"CDM, CM",RDM,France
262118,Valentino Francisco Livramento,T. Livramento,80,Newcastle United,"RB, LB, RM",LB,England
259307,Malo Gusto,M. Gusto,79,Chelsea,"RB, RM",SUB,France
204838,Raúl Alonso Jiménez Rodríguez,R. Jiménez,77,Fulham FC,ST,SUB,Mexico
228151,Joshua Jon Cullen,J. Cullen,76,Burnley,"CDM, CM",LDM,Republic of Ireland
207421,Leandro Trossard,L. Trossard,83,Arsenal,"LW, ST, LM",LW,Belgium
237477,Marcus Joseph Tavernier,M. Tavernier,76,AFC Bournemouth,"LM, RM, CAM, LW",CAM,England
236822,Gabriel Gudmundsson,G. Gudmundsson,77,Leeds United,"LB, LM, CB",LB,Sweden
238616,Pedro Lomba Neto,Pedro Neto,80,Chelsea,"RM, LM, ST, RW",RM,Portugal
251805,Jurriën David Norman Timber,J. Timber,82,Arsenal,"RB, LB, CB, RM",RB,Netherlands
236792,Tomáš Souček,T. Souček,78,West Ham United,"CDM, CM",RCM,Czechia
240740,Callum James Hudson-Odoi,C. Hudson-Odoi,78,Nottingham Forest,"LM, LW",LM,England
235167,Vitaly Janelt,V. Janelt,76,Brentford,"CM, CDM",SUB,Germany
239373,Zian Flemming,Z. Flemming,73,Burnley,ST,SUB,Netherlands
236920,Justin Dean Kluivert,J. Kluivert,79,AFC Bournemouth,"CAM, LM, CM",SUB,Netherlands
236045,Reinildo Isnard Mandava,Reinildo,79,Sunderland,"LB, CB, LM",LB,Mozambique
278016,Murillo Santiago Costa dos Santos,Murillo,83,Nottingham Forest,CB,LCB,Brazil
186146,Daniel Nii Tackie Mensah Welbeck,D. Welbeck,78,Brighton & Hove Albion,ST,ST,England
264293,Mouhamadou Habib Diarra,H. Diarra,77,Sunderland,"CM, CAM",RCM,Senegal
257470,Anthony David Junior Elanga,A. Elanga,81,Newcastle United,"RW, RM",RW,Sweden
244373,Vitaliy BuyalskyiБуяльський Віталій Казимирович,V. Buyalskyi,76,Dynamo Kyiv,"CAM, CM, CDM",SUB,Ukraine
243657,James David Garner,J. Garner,76,Everton,"CDM, CM",RDM,England
220710,Harry Wilson,H. Wilson,76,Fulham FC,"RM, RW",RM,Wales
234742,Harvey Lewis Barnes,H. Barnes,80,Newcastle United,"LW, LM",SUB,England
255223,Amine Adliأمين عدلي,A. Adli,78,AFC Bournemouth,"ST, LM, CAM",SUB,Morocco
203574,John Stones,J. Stones,82,Manchester City,"CB, RB",SUB,England
229528,Mykola MatvienkoМатвієнко Микола Олександрович,M. Matviienko,77,Shakhtar Donetsk,"CB, LB, RB",LCB,Ukraine
235432,Marshall Nyasha Munetsi,M. Munetsi,76,Wolverhampton Wanderers,"CM, CAM, RW",RW,Zimbabwe
217826,Joshua Ishaele Jacob-Heron Hunt-Laurent,J. Laurent,73,Burnley,"CDM, CM, CAM",RDM,England
231447,Donyell Malen,D. Malen,79,Aston Villa,"RM, RW, LM",SUB,Netherlands
254088,Amad Diallo Traoré,Amad,79,Manchester United,"CAM, RW, RM, CM",SUB,Côte d'Ivoire
239529,Ogochukwu Frank Onyeka,F. Onyeka,74,Brentford,"CM, CDM",SUB,Nigeria
236461,Jean-Philippe Mateta,J. Mateta,82,Crystal Palace,ST,ST,France
193474,Idrissa Gana Gueye,I. Gueye,79,Everton,"CDM, CM",LDM,Senegal
260592,Benjamin Šeško,B. Šeško,80,Manchester United,ST,ST,Slovenia
235173,Ibrahim Sangaré,I. Sangaré,77,Nottingham Forest,"CDM, CM",RDM,Côte d'Ivoire
243256,Oleksandr PikhalyonokПіхальонок Олександр Олександрович,O. Pikhalyonok,75,Dynamo Kyiv,"CM, CAM, CDM",RDM,Ukraine
225863,Olivier Maxime Boscagli,O. Boscagli,79,Brighton & Hove Albion,CB,SUB,France
264298,Conor Bradley,C. Bradley,78,Liverpool,"RB, RM",SUB,Northern Ireland
237679,Randal Kolo Muani,R. Kolo Muani,81,Tottenham Hotspur,ST,SUB,France
206516,William James Hughes,W. Hughes,77,Crystal Palace,"CDM, CM",LCM,England
277427,Nico O'Reilly,N. O'Reilly,73,Manchester City,"LB, CM, CAM",SUB,England
